"","Incident_Number","lon","lat"
"486",2014007555,-92.3328086,38.9689878
"487",2014008090,-92.3462136,38.9588254
"488",2014007528,-92.3219103,38.9567041
"489",2014007745,-92.335645,38.9716408
"490",2014008101,-92.3689569,38.9609653
"491",2014008067,-92.2908642,38.9082329
"492",2014008047,-92.3265218,38.9499904
"493",2014007543,-92.3532908,38.9390821
"494",2014007672,-92.3218363,38.9640047
"495",2014007527,-92.3681689,38.9678741
"496",2014007740,-92.3322388,38.9333663
"497",2014008019,-92.2960467,38.9488493
"498",2014008031,-92.3256576,38.9529447
"499",2014007534,-92.3532908,38.9390821
"500",2014007575,-92.2867917,38.9435138
"501",2014007700,-92.3400087,38.9646476
"502",2014007686,-92.3351856,38.9175175
"503",2014007689,-92.3102622,38.963059
"504",2014007765,-92.3265218,38.9499904
"505",2014007773,-92.3265218,38.9499904
"506",2014008103,-92.3196104,38.9643895
"507",2014007466,-92.309164,38.949112
"508",2014008022,-92.3408666,38.9643083
"509",2014007537,-92.3291587,38.957285
"510",2014007678,-92.3364329,38.9651876
"511",2014007980,-92.309177,38.9133076
"512",2014008510,-92.2916261,38.9332396
"513",2014008444,-92.3136344,38.9138985
"514",2014008489,-92.328489,38.9108405
"515",2014008361,-92.2933128,38.9798245
"516",2014008407,-92.3765391,38.9615411
"517",2014008666,-92.309164,38.949112
"518",2014008487,-92.3382716,38.9596513
"519",2014008501,-92.3351856,38.9175175
"520",2014008436,-92.3765391,38.9615411
"521",2014008538,-92.3054714,39.0081444
"522",2014008789,-92.3332949,38.9709136
"523",2014008765,-92.3692452,38.9597722
"524",2014008531,-92.3136344,38.9138985
"525",2014008535,-92.3136344,38.9138985
"526",2014008767,-92.3322768,38.9644074
"527",2014008530,-92.2916261,38.9332396
"528",2014008453,-92.3765391,38.9615411
"529",2014008663,-92.3233177,38.9479274
"530",2014008745,-92.3282668,38.9567488
"531",2014008476,-92.3136344,38.9138985
"532",2014008465,-92.3618167,38.9472838
"533",2014008681,-92.3234404,38.9637805
"534",2014008505,-92.3394339,38.9076269
"535",2014008569,-92.3217578,38.9597961
"536",2014008462,-92.3136344,38.9138985
"537",2014008517,-92.3247671,38.9337084
"538",2014008416,-92.2867917,38.9435138
"539",2014008620,-92.3995693,38.9344541
"540",2014008491,-92.3613052,38.956581
"541",2014008581,-92.3256576,38.9529447
"542",2014008420,-92.3765391,38.9615411
"543",2014008518,-92.2961774,38.9721821
"544",2014008693,-92.2930145,38.9603828
"545",2014008135,-92.2967858,38.9144714
"546",2014008141,-92.3620287,38.9306427
"547",2014008428,-92.3765391,38.9615411
"548",2014008110,-92.309177,38.9133076
"549",2014008378,-92.2978698,38.9770696
"550",2014008655,-92.3054714,39.0081444
"551",2014008682,-92.3320774,38.9010133
"552",2014008109,-92.3454619,38.9674941
"553",2014008381,-92.3765391,38.9615411
"554",2014008391,-92.3765391,38.9615411
"555",2014008668,-92.3460771,38.8995039
"556",2014008511,-92.3247671,38.9337084
"557",2014008317,-92.3620287,38.9306427
"558",2014008263,-92.311981,38.962473
"559",2014008446,-92.3233576,38.9467791
"560",2014008395,-92.2930145,38.9628275
"561",2014008454,-92.3618167,38.9472838
"562",2014008433,-92.3532908,38.9390821
"563",2014008118,-92.3898698,38.8678181
"564",2014008469,-92.3765391,38.9615411
"565",2014008556,-92.3005966,38.9743262
"566",2014008480,-92.3701415,38.9564199
"567",2014008455,-92.3054714,39.0081444
"568",2014009448,-92.3298931,38.9485507
"569",2014009048,-92.3351856,38.9175175
"570",2014008971,-92.3320774,38.9010133
"571",2014009064,-93.9763364,39.0086708
"572",2014009150,-92.2819695,38.9936337
"573",2014008945,-92.339212,38.8995563
"574",2014008967,-92.2960467,38.9488493
"575",2014008810,-92.3361484,38.9169034
"576",2014009154,-92.3039644,38.9840641
"577",2014009011,-92.3351856,38.9175175
"578",2014009147,-92.3351856,38.9175175
"579",2014009186,-92.3008827,38.9833867
"580",2014009184,-92.3361484,38.9169034
"581",2014009198,-92.2571973,38.9123336
"582",2014009326,-92.3320774,38.9010133
"583",2014009240,-92.3527497,38.9588557
"584",2014009109,-92.3105627,38.933127
"585",2014009176,-92.3008827,38.9833867
"586",2014009419,-92.3273098,38.9469646
"587",2014009222,-92.2967673,38.9548952
"588",2014009416,-92.3581676,38.9489887
"589",2014009090,-92.3171081,38.9632098
"590",2014009161,-92.3322768,38.9644074
"591",2014009137,-92.3618167,38.9472838
"592",2014009468,-92.3219103,38.9567041
"593",2014009059,-92.3351856,38.9175175
"594",2014008928,-92.3411318,38.8982563
"595",2014008889,-92.339212,38.8995563
"596",2014008821,-92.2934551,38.9492411
"597",2014008903,-92.3521221,38.9008928
"598",2014008851,-92.3328086,38.9689878
"599",2014009028,-92.362931,38.9221891
"600",2014008956,-92.3521221,38.9008928
"601",2014009507,-92.3217669,38.99303
"602",2014009272,-92.2952856,38.948154
"603",2014008840,-92.3136344,38.9138985
"604",2014009008,-92.3256877,38.9803127
"605",2014009029,-92.2934551,38.9492411
